magnitude,date_time,alert,tsunami,depth,latitude,longitude
7.2,1,4,0,24.0,-38.355,-73.326
7.3,12,4,0,16.0,-19.702,167.947
6.7,12,4,0,12.0,28.412,59.18
6.6,12,4,0,33.0,-6.001,149.977
7.8,10,4,0,20.1,-3.487,100.082
6.7,10,4,0,13.0,24.696,-109.156
7.0,9,4,0,26.0,-4.963,133.76
7.0,9,4,0,12.0,-43.522,171.83
7.1,8,4,0,206.7,-1.266,-77.306
7.3,8,4,0,25.0,-17.541,168.069
7.0,8,4,0,44.0,-5.746,150.765
6.5,8,4,0,220.0,-5.486,146.822
7.6,7,4,0,578.0,6.497,123.48
7.3,7,4,0,35.0,-5.931,150.59
6.9,7,4,0,28.0,-5.966,150.428
6.6,7,4,0,22.0,-38.067,-73.31
6.7,6,4,0,35.0,-10.627,161.447
6.6,6,4,0,10.5,-2.329,136.484
7.0,6,4,0,18.0,-2.174,136.543
7.5,6,4,0,35.0,7.881,91.936
7.2,5,4,0,31.0,-13.698,166.643
7.2,5,4,0,38.0,3.748,96.018
6.9,4,4,0,17.0,33.165,96.548
6.9,4,4,0,21.0,-10.878,161.116
7.8,4,4,0,31.0,2.383,97.048
7.2,4,2,0,9.987,32.2862,-115.295
6.6,3,4,0,34.0,13.667,92.831
6.7,3,4,0,18.0,-36.217,-73.257
6.5,3,4,0,32.0,37.745,141.59
7.0,3,4,0,18.0,-34.326,-71.799
6.9,3,4,0,11.0,-34.29,-71.891
6.8,3,4,0,26.0,-3.762,100.991
6.6,3,4,0,18.0,-36.665,-73.374
6.5,3,4,0,176.0,-13.571,167.227
7.4,2,4,0,35.0,-37.773,-75.048
8.8,2,4,0,22.9,-36.122,-72.898
7.0,2,4,0,25.0,25.93,128.425
7.0,1,4,0,13.0,18.443,-72.571
6.5,1,4,0,28.737,40.652,-124.692
6.8,1,4,0,15.4,-9.019,157.551
7.1,1,4,0,10.0,-8.783,157.354
6.6,1,4,0,10.0,-8.726,157.487
6.5,11,4,0,27.0,-19.394,-70.321
7.3,11,4,0,595.0,-17.239,178.331
6.6,11,4,0,18.0,-8.207,118.631
6.8,10,4,0,34.0,29.218,129.782
6.9,10,4,0,130.0,-6.133,130.385
6.8,10,4,0,35.0,-13.298,165.91
7.4,10,4,0,31.1,-13.093,166.497
7.8,10,4,0,35.0,-12.517,166.382
7.7,10,4,0,45.0,-13.006,166.51
6.6,10,4,0,9.0,-2.482,101.524
7.6,9,4,0,81.0,-0.72,99.867
8.1,9,4,0,18.0,-15.489,-172.095
7.0,9,4,0,46.0,-7.782,107.297
6.7,8,4,0,20.0,-1.479,99.49
6.6,8,4,0,53.0,32.821,140.395
7.5,8,4,0,24.0,14.099,92.902
7.1,8,4,0,292.0,33.167,137.944
6.9,8,4,0,10.0,29.039,-112.903
7.8,7,4,0,12.0,-45.762,166.562
6.7,6,4,0,64.0,-5.157,153.782
7.3,5,4,0,19.0,16.731,-86.217
7.6,3,4,0,31.0,-23.043,-174.66
7.2,2,4,0,20.0,3.886,126.387
7.4,1,4,0,23.0,-0.691,133.305
6.6,1,4,0,204.8,36.419,70.743
7.7,1,4,0,17.0,-0.414,132.885
7.4,11,4,0,30.0,1.271,122.091
6.7,10,4,0,24.0,14.423,-92.364
6.7,10,4,0,27.4,39.533,73.824
6.8,9,4,0,25.0,41.892,143.754
6.6,9,4,0,96.0,1.885,127.363
6.9,9,4,0,110.0,-13.501,166.967
6.7,8,4,0,12.0,30.901,83.52
6.8,7,4,0,108.0,39.802,141.464
7.0,7,4,0,22.0,37.552,142.214
6.9,7,4,0,25.5,37.55,142.714
6.6,6,4,0,17.0,11.005,91.824
6.9,6,4,0,7.8,39.03,140.881
7.9,5,4,0,19.0,31.002,103.322
6.9,5,4,0,27.0,36.164,141.526
7.3,4,4,0,33.0,-20.071,168.892
7.2,3,4,0,10.0,35.49,81.467
6.9,3,4,0,24.0,13.351,125.63
6.7,2,4,0,25.0,-2.245,99.808
6.6,2,4,0,25.0,-2.332,99.891
7.2,2,4,0,25.0,-2.486,99.972
6.5,2,4,0,22.0,-2.405,99.931
7.4,2,4,0,26.0,2.768,95.964
6.5,2,4,0,28.0,36.345,21.863
6.9,2,4,0,29.0,36.501,21.67
6.5,2,4,0,83.0,16.357,-94.304
6.6,12,4,0,20.0,-39.011,178.291
6.7,12,4,0,45.0,-22.954,-70.182
7.4,11,4,0,156.0,14.944,-61.274
6.6,11,4,0,16.0,-10.95,162.149
6.5,11,4,0,18.0,-8.224,118.467
6.5,11,4,0,20.0,-8.292,118.37
